nome_municipio,abandono_geral,risco_evasao,prob_risco_modelo,pred_modelo,acerto
Abreu e Lima,0.2,0,0.173,0,True
Afogados da Ingazeira,0.2,0,0.513,1,False
Afrânio,0.0,0,0.13,0,True
Agrestina,1.9,0,0.227,0,True
Água Preta,0.3,0,0.277,0,True
Águas Belas,0.75,0,0.493,0,True
Alagoinha,0.35,0,0.15,0,True
Aliança,0.15,0,0.15,0,True
Altinho,0.0,0,0.167,0,True
Amaraji,0.4,0,0.307,0,True
Angelim,0.0,0,0.46,0,True
Araçoiaba,0.05,0,0.113,0,True
Araripina,0.7,0,0.057,0,True
Arcoverde,0.3,0,0.07,0,True
Barra de Guabiraba,0.75,0,0.11,0,True
Barreiros,0.15,0,0.19,0,True
Belém de Maria,0.0,0,0.11,0,True
Belém do São Francisco,0.6,0,0.227,0,True
Belo Jardim,1.05,0,0.11,0,True
Betânia,0.15,0,0.05,0,True
Bezerros,0.05,0,0.15,0,True
Bodocó,1.4500000000000002,0,0.753,1,False
Bom Conselho,0.25,0,0.387,0,True
Bom Jardim,0.0,0,0.157,0,True
Bonito,0.3,0,0.087,0,True
Brejão,3.0,1,0.803,1,True
Brejinho,1.8,0,0.343,0,True
Brejo da Madre de Deus,0.25,0,0.777,1,False
Buenos Aires,0.8,0,0.227,0,True
Buíque,0.65,0,0.513,1,False
Cabo de Santo Agostinho,0.2,0,0.083,0,True
Cabrobó,0.35,0,0.093,0,True
Cachoeirinha,0.9,0,0.58,1,False
Caetés,0.15,0,0.14,0,True
Calçado,1.7,0,0.093,0,True
Calumbi,0.35,0,0.11,0,True
Camaragibe,0.2,0,0.023,0,True
Camocim de São Félix,0.1,0,0.11,0,True
Camutanga,0.35,0,0.177,0,True
Canhotinho,1.55,0,0.213,0,True
Capoeiras,0.0,0,0.337,0,True
Carnaíba,0.35,0,0.1,0,True
Carnaubeira da Penha,2.15,1,0.857,1,True
Carpina,0.15,0,0.073,0,True
Caruaru,1.15,0,0.04,0,True
Casinhas,0.0,0,0.153,0,True
Catende,1.2,0,0.17,0,True
Cedro,1.25,0,0.16,0,True
Chã de Alegria,0.2,0,0.057,0,True
Chã Grande,0.6,0,0.16,0,True
Condado,0.1,0,0.11,0,True
Correntes,0.05,0,0.193,0,True
Cortês,0.3,0,0.513,1,False
Cumaru,0.4,0,0.14,0,True
Cupira,0.35,0,0.077,0,True
Custódia,0.3,0,0.303,0,True
Dormentes,0.2,0,0.083,0,True
Escada,0.2,0,0.107,0,True
Exu,2.7,1,0.78,1,True
Feira Nova,0.0,0,0.237,0,True
